scan,bpp,flowcell
1,457.92,56
2,448.18,56
3,525.25,56
4,523.93,56
5,511.99,56
6,472.92,56
7,522.89,56
8,451.64,56
9,453.68,56
10,520.82,56
11,483.51,56
12,505.85,56
13,507.95,56
14,445.45,56
15,508.57,56
16,508.81,56
17,461.91,56
18,529.53,56
19,463.89,56
20,480.16,56
1,469.04,57
2,480.35,57
3,473.63,57
4,470.54,57
5,502.88,57
6,480,57
7,447.91,57
8,469.89,57
9,444.91,57
10,511.73,57
11,449.02,57
12,448.58,57
13,457.79,57
14,475.08,57
15,454.53,57
16,450.69,57
17,448.61,57
18,489.91,57
19,469.36,57
20,448.12,57
1,513.39,58
2,514.58,58
3,517.4,58
4,517.56,58
1,526.13,59
2,522.83,59
3,525.8,59
4,524.52,59
5,526.96,59
6,524.14,59
7,522.24,59
8,529.27,59
9,525.93,59
10,520.43,59
11,525.17,59
12,528.9,59
13,521.92,59
14,521.98,59
15,523.2,59
16,526.16,59
17,523.43,59
18,526.5,59
19,525.17,59
20,524.63,59
1,514.85,60
2,507.72,60
3,499.89,60
4,491.8,60
5,479.7,60
6,484.25,60
7,480.12,60
8,482.14,60
9,479.31,60
10,477.74,60
11,478.35,60
12,479.85,60
13,478.43,60
14,480.61,60
10,474.92,61
11,476.79,61
12,477.3,61
13,477.54,61
14,477.16,61
1,481.26,61
2,477.89,61
3,480.97,61
4,476.92,61
5,474.95,61
6,473.16,61
7,477.54,61
8,472.4,61
9,483.16,61
2,531.54,62
3,506.99,62
4,499.11,62
5,499.27,62
6,499.81,62
7,502.3,62
8,504.25,62
9,504.23,62
10,504.28,62
11,504.29,62
12,505.16,62
1,514.25,63
2,510.75,63
3,506.17,63
4,504.59,63
5,506.21,63
6,502.44,63
7,503.83,63
8,501.86,63
9,504.81,63
10,502.66,63
11,504.46,63
12,502.77,63
13,502.28,63
14,502.33,63
1,502.58,64
2,499.04,64
1,530.16,65
2,514.11,65
3,511.71,65
4,510.23,65
5,508.68,65
6,508.16,65
1,510.51,66
2,511.6,66
3,511.26,66
4,509.37,66
5,510.08,66
6,509.06,66
7,509.17,66
8,510.43,66
9,511.53,66
10,510.85,66
11,509.67,66
12,510.74,66
13,510.28,66
14,512.59,66
1,502.94,67
2,502.11,67
3,501.22,67
4,501.07,67
5,501.64,67
6,501.96,67
1,501.58,68
2,499.37,68
3,496.63,68
4,489.15,68
5,484.25,68
6,485.6,68
7,487.16,68
8,491.55,68
9,505.88,68
10,487.02,68
11,491.94,68
12,490.76,68
13,483.35,68
14,504.09,68
15,492.31,68
16,502.9,68
17,504.47,68
18,498.25,68
19,489.92,68
20,483.34,68
1,500,69
2,459.24,69
3,521.79,69
4,458.03,69
5,469.79,69
6,467,69
7,454.1,69
8,493.17,69
9,460.31,69
10,461.59,69
1,500,70
2,500,70
3,466.64,70
4,468.53,70
5,460.48,70
6,463.11,70
7,500,70
8,527.97,70
9,500,70
10,500,70
11,500,70
12,512.38,70
13,513.67,70
14,500,70
15,456.62,70
16,450.32,70
17,453.87,70
18,452.06,70
19,451.62,70
20,449.39,70
21,456.69,70
22,458.45,70
23,449.42,70
24,448.53,70
25,452.99,70
26,451.92,70
27,458.38,70
28,449.94,70
29,447.67,70
30,447.88,70
1,492.76,71
2,490.32,71
3,471.56,71
4,481.51,71
5,466.2,71
6,472.87,71
7,536.21,71
8,476.57,71
9,489.99,71
10,496.23,71
11,491.05,71
12,495.02,71
13,452.37,71
14,484.61,71
15,500,71
16,452.56,71
17,470.47,71
18,447.98,71
19,452.9,71
20,495.61,71
21,533.92,71
22,457.24,71
23,454.4,71
24,499.58,71
25,480.06,71
26,483.98,71
27,468.43,71
28,446.57,71
29,441.98,71
30,477.96,71
1,507.71,72
2,487.13,72
3,508.99,72
4,468.57,72
5,476.09,72
6,489.39,72
7,468.44,72
8,470.82,72
9,489.85,72
10,475.69,72
11,502.76,72
12,497.27,72
13,465.21,72
14,467.16,72
15,482.35,72
16,471.01,72
17,468.93,72
18,478.76,72
19,496.15,72
20,533.01,72
21,552.36,72
22,478.76,72
23,489.23,72
24,503.16,72
25,471.31,72
26,479.74,72
27,472.76,72
28,499.61,72
29,472.23,72
30,521.87,72
1,504.18,73
2,505.05,73
3,479.6,73
4,468.14,73
5,471.22,73
6,485.54,73
7,504.82,73
8,454.43,73
9,455.72,73
10,479.64,73
11,488.21,73
12,466.71,73
13,474.58,73
14,537.08,73
15,446.6,73
16,497.46,73
17,475.95,73
18,467.24,73
19,487.98,73
20,444.16,73
21,514.13,73
22,487.85,73
23,447.32,73
24,445.29,73
25,445.85,73
26,494.38,73
27,453.87,73
28,518.82,73
29,455.52,73
30,454.54,73
1,520.04,74
2,519.94,74
3,517.11,74
4,519.18,74
5,518.73,74
6,518.91,74
7,520.92,74
8,520.47,74
9,519.89,74
10,520.03,74
11,516.23,74
12,520.36,74
13,520.93,74
14,523.6,74
15,523.72,74
16,523.26,74
17,520.68,74
18,525.22,74
19,525.96,74
20,525.01,74
1,504.98,75
1,513.23,76
2,507.67,76
3,502.88,76
4,493.26,76
5,498.18,76
6,499.81,76
7,501.85,76
8,501.08,76
9,500.36,76
10,501.51,76
11,502.98,76
12,502.06,76
13,503.9,76
1,503.45,77
2,505.04,77
3,503.68,77
4,503.22,77
5,502.53,77
6,502.6,77
7,500.01,77
8,499.47,77
9,500.82,77
10,502.75,77
11,500.33,77
12,503.2,77
13,503.18,77
1,538.26,78
2,543.05,78
3,540.27,78
4,533.88,78
5,522.02,78
6,521.97,78
7,521.05,78
8,522.39,78
9,521.94,78
10,521.56,78
11,522.47,78
12,523.66,78
13,522.81,78
14,524.31,78
1,515.36,79
2,517.06,79
3,516.83,79
4,513.72,79
5,512.08,79
6,511.83,79
1,489.16,80
2,500.9,80
3,500,80
4,500,80
5,500,80
6,500,80
7,500,80
8,500,80
9,500,80
10,500,80
1,498.06,81
2,500.34,81
1,505.44,82
1,513.08,84
2,508.91,84
3,504.47,84
4,507.92,84
5,507.83,84
6,508.76,84
7,504.53,84
8,511.02,84
9,505.26,84
10,505.88,84
11,501.48,84
12,515.12,84
1,499.71,85
2,510.28,85
3,505.51,85
4,508.16,85
5,505.15,85
6,511.45,85
7,501.47,85
8,508.76,85
9,507.62,85
10,507.17,85
11,513.32,85
12,507.36,85
13,504.02,85
14,506.37,85
15,501.46,85
16,508.26,85
17,506.49,85
18,505.47,85
19,511.24,85
20,509.42,85
21,503.39,85
22,503.61,85
23,506.94,85
24,508.11,85
25,504.18,85
26,512.21,85
27,512.68,85
28,506.85,85
29,510.5,85
30,513.94,85
1,500,86
2,464.64,86
3,475.29,86
4,500,86
5,482.43,86
6,486.61,86
7,503.16,86
8,460.15,86
9,473.6,86
10,469.32,86
11,475.82,86
12,457.61,86
13,470.32,86
14,434.17,86
15,495.14,86
16,447.44,86
17,498.87,86
18,519.59,86
19,532.19,86
20,507.39,86
21,518.04,86
22,476.7,86
23,544.45,86
24,496.26,86
25,527.31,86
26,499.66,86
27,557.37,86
28,491.79,86
29,532.35,86
30,495.13,86
1,518.52,87
2,515.81,87
3,516.82,87
4,516.9,87
5,514.75,87
6,516.2,87
7,516.31,87
8,514.32,87
9,519.49,87
10,519.93,87
11,514.16,87
12,516.6,87
13,516.31,87
14,515.75,87
15,518.51,87
16,517.6,87
17,516.02,87
18,518.6,87
19,516.01,87
20,515.79,87
21,520.46,87
22,514.59,87
23,518.1,87
24,517.19,87
25,518.61,87
26,515.53,87
27,517.39,87
28,513.78,87
29,520.92,87
30,514.3,87
1,504.73,88
2,496.29,88
3,492.99,88
4,489.19,88
5,475.95,88
6,488.4,88
7,500,88
8,485.86,88
9,482.32,88
10,488.43,88
11,486.61,88
12,493.92,88
13,486.88,88
14,480.55,88
15,486.07,88
16,481.57,88
17,506.72,88
18,481.86,88
19,479.85,88
20,484,88
1,500,89
2,501.98,89
3,522.67,89
4,500,89
5,489.99,89
6,498.68,89
7,503.21,89
8,488.37,89
9,506.56,89
10,514.5,89
11,491.46,89
12,500.69,89
13,511.85,89
14,496.07,89
15,484.37,89
16,480.5,89
17,497.34,89
18,490.72,89
19,505.1,89
20,493.88,89
1,497.16,90
2,510.54,90
3,502.45,90
4,495.7,90
5,523.68,90
6,495.08,90
7,488.5,90
8,495.55,90
9,487.25,90
10,486.53,90
11,496.82,90
12,486.93,90
13,516.61,90
14,479.66,90
15,491.61,90
16,485.49,90
17,478.3,90
18,488.82,90
19,499.31,90
20,537.91,90
1,511.32,91
2,510.64,91
3,498.8,91
4,501.37,91
5,482.58,91
7,482.08,91
8,522.07,91
9,491.79,91
10,498.96,91
11,495.56,91
12,490.96,91
13,529.93,91
14,487.85,91
15,495.79,91
16,543.01,91
17,549.12,91
18,497.32,91
19,492.35,91
1,474.96,92
2,497.82,92
3,498.86,92
4,505.1,92
5,503.41,92
6,522.19,92
7,521.59,92
8,503.66,92
9,457.79,92
10,490.37,92
11,489.76,92
12,485.7,92
13,500,92
14,487.92,92
15,526.12,92
16,493.12,92
17,481.57,92
18,477.68,92
19,484.4,92
20,500,92
1,483.74,93
2,482.1,93
3,481.4,93
4,486.52,93
5,481.65,93
6,493.39,93
7,483.76,93
8,482.5,93
9,490.3,93
10,483.64,93
11,476.58,93
12,476.62,93
13,480.6,93
14,477.49,93
15,478.04,93
16,475.94,93
17,476.4,93
18,480.5,93
19,477.25,93
20,489.14,93
1,489.67,94
2,484.76,94
3,483.78,94
4,488.58,94
5,482.67,94
6,489.45,94
7,492.21,94
8,488.86,94
9,490.58,94
10,483.4,94
11,490.6,94
12,486.9,94
13,490.2,94
14,490.98,94
15,495.44,94
16,486.77,94
17,488.63,94
18,504.98,94
19,487.59,94
20,495.32,94
1,497.11,95
2,508.34,95
3,494.63,95
4,495.15,95
5,485.41,95
6,485.45,95
7,493.35,95
8,493.65,95
9,485.6,95
10,496.73,95
11,493.48,95
12,489.29,95
13,486.04,95
14,490.07,95
15,493.04,95
16,490.05,95
17,488.14,95
18,484.28,95
19,486.76,95
20,487.54,95
1,500,96
2,489.52,96
3,505.09,96
4,518.18,96
5,507.9,96
6,519.21,96
7,506.02,96
8,494.47,96
9,497.68,96
10,504.15,96
11,499.91,96
12,492.8,96
13,492.84,96
14,484.14,96
15,492.75,96
16,500.2,96
17,494.61,96
18,497.76,96
19,495.19,96
20,493.7,96
1,499.35,97
2,499.03,97
3,486.18,97
4,493.25,97
5,501.27,97
6,491.58,97
7,498.91,97
8,492.03,97
9,490.33,97
10,496.03,97
11,484.09,97
12,493.42,97
13,496.98,97
14,492.9,97
15,486.09,97
16,497.58,97
17,492.72,97
18,493.84,97
19,488.63,97
20,490.19,97